layout,n_antennas,unique_cells,samples_outside_grid,redundancy_fraction,cornwell_F,gaussian_chi2,d_min_m,d_max_m,separation_violations,feasible,psf_peak,psf_main_lobe_radius_px,psf_peak_sidelobe_level,psf_sidelobe_rms,psf_min_value,psf_fwhm_px,psf_ellipticity,psf_fwhm_arcsec,psf_pixel_scale_arcsec
Reuleaux (1 ring),20,10226,0,0.3436456996148909,30.476098133482655,1.0515149539700426,230.03795258653398,1730.8637464632372,0,True,1.0,2,0.13244089127984057,0.008707100984264622,-0.19628542582682032,1.1213789621880614,0.0,0.05665220558371221,0.050520125215449976
hierarchical (3^3),27,9596,0,0.6665971787923007,208.88621144811762,0.9292824769121605,144.09251200488086,1732.050807568877,0,True,1.0,2,0.20082053111266382,0.008906755144679148,-0.25030849409933514,1.193139061060868,0.0,0.06027753476423947,0.050520125215449976
random (area-uniform),20,9266,0,0.4052631578947368,39.9494172821795,0.06662342289527115,65.07305338075048,1944.8839872563117,0,True,1.0,2,0.17782505428970183,0.008935933152116054,-0.17782505428970183,1.376593489411217,0.0,0.06954567545582789,0.050520125215449976
Vogel golden angle,20,9018,0,0.42118100128369707,34.564032820046755,0.25124644367705606,172.05838667675644,1866.3218704049311,0,True,1.0,2,0.1238739315634235,0.009025146492638983,-0.1238739315634235,1.4205908491848032,0.0,0.07176842758073868,0.050520125215449976
Gaussian (Boone target),20,7844,0,0.49653401797175867,46.253700469727946,0.09561806671125507,117.46301767183975,1682.5849179609813,0,True,1.0,2,0.15129447646960467,0.009310719045103373,-0.15129447646960467,1.7415321340294014,0.01084953163227731,0.08798242147789517,0.050520125215449976
log spiral (3 arms),20,7736,0,0.5034659820282413,70.08397939145458,0.21390402328973776,34.64101615137754,1802.2633595620223,0,True,1.0,3,0.09772918586541189,0.009511534474569918,-0.09921911517168387,1.6867034389787312,0.00970686061895143,0.08521246893853558,0.050520125215449976
Reuleaux (3 rings),20,7708,0,0.5052631578947369,50.73823309126691,0.22445857546988857,179.35973380357507,1703.1284680078663,0,True,1.0,3,0.10450631821133319,0.009341206871794759,-0.10450631821133319,1.7918658346070495,0.005863960731424811,0.09052528633363492,0.050520125215449976
log spiral (5 arms),20,7644,0,0.5093709884467266,111.00799415368579,1.5386013971452641,23.51141009169892,1902.1130325903075,0,True,1.0,2,0.09037411907942863,0.009844032935395817,-0.086595968184366,1.5700481834101745,0.010353216503725893,0.07931903082017179,0.050520125215449976
"log spiral (3 arms, growth 4)",20,6962,0,0.5531450577663671,91.81171995368132,0.2059623382757228,34.64101615137754,1732.0508075688779,0,True,1.0,3,0.11055169576042641,0.010049286443167415,-0.08771206993257748,1.8123992562304863,0.004692109419951462,0.09156263736515258,0.050520125215449976
golden spiral (1 arm),20,6872,0,0.5589216944801026,74.87793331889844,0.02267525221022032,36.975628567204275,1732.7161351826965,0,True,1.0,3,0.09013151575431,0.009760446407178658,-0.09013151575431,2.0185480030727185,0.06545180731078948,0.10197729786863025,0.050520125215449976
uniform rings,20,5116,0,0.6716302952503209,308.091336102285,5.748567508888488,17.355349564702323,2000.0000000000002,0,True,1.0,2,0.15939356122388443,0.01289342492610628,-0.12316644994908088,1.4245453547827729,0.0,0.0719682096987133,0.050520125215449976
Fibonacci radial,20,1813,0,0.8836328626444159,1322.641082203501,14.424925718529314,9.132792082384018,1521.2021236099538,0,True,1.0,3,0.3857952107610735,0.021455776004865913,-0.17450413905872098,2.5941285247633314,0.47851502403464696,0.13105569789601404,0.050520125215449976
